time,value,
1,0,
2,1,
3,1,
4,2,
5,3,
6,5,
7,8,
8,13,
9,21,
10,34,
11,55,
12,89,
13,144,
14,233,
15,377,
16,610,
17,987,
18,1597,
19,2584,
20,4181,
21,6765,
22,10946,
23,17711,
24,28657,
25,46368,
26,75025,
27,121393,
28,196418,
29,317811,
30,514229,
31,832040,
32,1346269,
33,2178309,
34,3524578,
35,5702887,
36,9227465,
37,14930352,
38,24157817,
39,39088169,
40,63245986,
41,102334155,
42,165580141,
43,267914296,
44,433494437,
45,701408733,
46,1134903170,
47,1836311903,
48,2971215073,
49,4807526976,
50,7778742049,
51,12586269025,
52,20365011074,
53,32951280099,
54,53316291173,
55,86267571272,
56,139583862445,
57,225851433717,
58,365435296162,
59,591286729879,
60,956722026041,
61,1548008755920,
62,2504730781961,
63,4052739537881,
64,6557470319842,
65,10610209857723,
66,17167680177565,
67,27777890035288,
68,44945570212853,
69,72723460248141,
70,117669030460994,
71,190392490709135,
72,308061521170129,
73,498454011879264,
74,806515533049393,
75,1304969544928657,
76,2111485077978050,
77,3416454622906707,
78,5527939700884757,
79,8944394323791464,
80,14472334024676221,
81,23416728348467685,
82,37889062373143906,
83,61305790721611591,
84,99194853094755497,
85,160500643816367088,
86,259695496911122585,
87,420196140727489673,
88,679891637638612258,
89,1100087778366101931,
90,1779979416004714189,
91,2880067194370816120,
92,4660046610375530309,
93,7540113804746346429,
94,12200160415121876738,
95,19740274219868223167,
96,31940434634990099905,
97,51680708854858323072,
98,83621143489848422977,
99,135301852344706746049,
100,218922995834555169026,
101,354224848179261915075,
102,573147844013817084101,
103,927372692193078999176,
104,1500520536206896083277,
105,2427893228399975082453,
106,3928413764606871165730,
107,6356306993006846248183,
108,10284720757613717413913,
109,16641027750620563662096,
110,26925748508234281076009,
111,43566776258854844738105,
112,70492524767089125814114,
113,114059301025943970552219,
114,184551825793033096366333,
115,298611126818977066918552,
116,483162952612010163284885,
117,781774079430987230203437,
118,1264937032042997393488322,
119,2046711111473984623691759,
120,3311648143516982017180081,
121,5358359254990966640871840,
122,8670007398507948658051921,
123,14028366653498915298923761,
124,22698374052006863956975682,
125,36726740705505779255899443,
126,59425114757512643212875125,
127,96151855463018422468774568,
128,155576970220531065681649693,
129,251728825683549488150424261,
130,407305795904080553832073954,
131,659034621587630041982498215,
132,1066340417491710595814572169,
133,1725375039079340637797070384,
134,2791715456571051233611642553,
135,4517090495650391871408712937,
136,7308805952221443105020355490,
137,11825896447871834976429068427,
138,19134702400093278081449423917,
139,30960598847965113057878492344,
140,50095301248058391139327916261,
141,81055900096023504197206408605,
142,131151201344081895336534324866,
143,212207101440105399533740733471,
144,343358302784187294870275058337,
145,555565404224292694404015791808,
146,898923707008479989274290850145,
147,1454489111232772683678306641953,
148,2353412818241252672952597492098,
149,3807901929474025356630904134051,
150,6161314747715278029583501626149,
151,9969216677189303386214405760200,
152,16130531424904581415797907386349,
153,26099748102093884802012313146549,
154,42230279526998466217810220532898,
155,68330027629092351019822533679447,
156,110560307156090817237632754212345,
157,178890334785183168257455287891792,
158,289450641941273985495088042104137,
159,468340976726457153752543329995929,
160,757791618667731139247631372100066,
161,1226132595394188293000174702095995,
162,1983924214061919432247806074196061,
163,3210056809456107725247980776292056,
164,5193981023518027157495786850488117,
165,8404037832974134882743767626780173,
